epoch,loss,out_pred_acc,out_pred_loss,train_decoder_output_loss,val_loss,val_out_pred_acc,val_out_pred_loss,val_train_decoder_output_loss
0,0.025635195525103103,0.9327083179032043,0.05577330566634344,-60.27621757273839,-0.015697758290582318,0.9725088642944284,0.021995111415888155,-75.38573608139976
1,-0.0090922510809192,0.9643160624739696,0.028044738606269864,-74.27397588908143,-0.02215455109231404,0.9770063531788231,0.018054545556083563,-80.41818970431838
2,-0.01722858335148221,0.9725961551288951,0.02166116831781313,-77.77949968293585,-0.02495314017389927,0.9792258932366651,0.016285917842998928,-82.47811217200537
3,-0.021508672970466543,0.9768049566761834,0.018147800778666377,-79.31294379769952,-0.026190105759370114,0.9795568763367238,0.016015623666039255,-84.41145476056084
4,-0.02460271854124898,0.980399871021084,0.015530753040858275,-80.26693933663144,-0.027450388473614203,0.9813480842248575,0.015020351711652112,-84.94147642135694
5,-0.026931465011551792,0.9825607490281018,0.013572471980394128,-81.00787011110664,-0.028918815104823286,0.9819127037482378,0.014003851432286036,-85.8453290520518
6,-0.0284029851067724,0.9840733629319415,0.01237351979025375,-81.55300587411276,-0.029564745134096418,0.9822436875886836,0.013691158570046394,-86.51180329008464
7,-0.030006753102728104,0.9857480421330602,0.011045845777455508,-82.10519387036679,-0.029493208484223925,0.9824578537315619,0.013781585352756451,-86.54958363529269
8,-0.03146432576065131,0.9871575230117685,0.00983338768148988,-82.595422969675,-0.029863816325463803,0.9822047485642741,0.013928552389633225,-87.5847332946497
9,-0.03235883939183386,0.9881397399151286,0.009206449693892577,-83.1305742919354,-0.030100515221946338,0.9820489910740583,0.014043264437761568,-88.2875552306846
10,-0.033553801382332556,0.9894313542765856,0.00818569030106403,-83.47897943287283,-0.02993716422189473,0.9818348242348913,0.0143280085701773,-88.53034126145377
11,-0.03424789968527732,0.9902711493586631,0.007625977339925207,-83.74775007442584,-0.03118167020515983,0.9828083069240661,0.013352546233752186,-89.06842846467688
12,-0.035038050483305945,0.9911502327934157,0.006989412466269662,-84.05492188307,-0.031047742298064163,0.9828861863654628,0.013461827123569227,-89.01913468799953
13,-0.035695147737753924,0.9916511630833519,0.006480665664193521,-84.35162279709033,-0.030928524313389032,0.9828083074602084,0.013808261049711432,-89.47356654793613
14,-0.03609953897993099,0.9922208486121407,0.006171878686237723,-84.54283133094569,-0.030917562826415362,0.9828277775967522,0.013884418472890115,-89.60395826951193
